   f_Hz Ic_mA Ic_deg Vc_deg Vpm_mVp Vpp_deg Ppm_mW Ppp_deg Ppr_mW Ppi_mW
1    62   4.8      0  -17.9    5054    16.7   24.3    16.7   23.2    7.0
2   125   7.7      0   -6.3    5023     4.1   38.7     4.1   38.6    2.8
3   250  17.0      0  -81.0    5113    78.4   86.9    78.4   17.5   85.1
4   500  35.6      0  -86.4    5204    81.2  185.3    81.2   28.3  183.1
5   600  43.5      0  -88.6    5265    85.0  229.0    85.0   19.9  228.1
6   800  57.5      0  -86.4    5197    82.8  298.8    82.8   37.5  296.5
7  1000  73.0      0  -80.6    5097    76.1  372.1    76.1   89.7  361.1
8  1200  87.5      0  -88.1    5146    83.3  450.3    83.3   52.7  447.2
9  1400 103.1      0  -87.7    5167    82.5  532.8    82.5   69.7  528.2
10 2000 148.0      0  -87.8    5136    81.5  760.1    81.5  111.9  751.8
11 4000 290.0      0  -87.8    4858    73.6 1408.7    73.6  396.8 1351.7
   f_Hz Vam_mVp Vap_deg Var_mVp Vai_mVp Idc_mA  Gain TGain
1    62    5100    16.5  4889.6  1449.9     17 10.41 11.87
2   125    5100     4.0  5087.3   360.2     18 10.30 11.95
3   250    5150    76.5  1202.2  5007.7     21 10.30 11.73
4   500    5270    77.4  1149.6  5143.1     NA 10.39 11.53
5   600    5320    80.4   891.6  5244.8     30 10.39 11.40
6   800    5300    76.6  1227.5  5155.9     35 10.29 11.55
7  1000    5320    68.4  1958.4  4946.4     40 10.64 11.77
8  1200    5320    73.9  1477.8  5110.6     45 10.33 11.66
9  1400    5400    71.6  1707.4  5123.0     50 10.38 11.61
10 2000    5550    66.2  2236.1  5079.6     66 10.37 11.68
11 4000    6320    47.5  4268.1  4661.1    115 10.33 12.35
   f_Hz Zpm_ohm Zpp_deg Zpr_ohm Zpi_ohm Rz_ohm Cz_uF Lz_mH
1    62  1052.9    16.7  1008.7   302.1 1008.7  -8.5 775.8
2   125   652.4     4.1   650.7    46.8  650.7 -27.2  59.6
3   250   300.8    78.4    60.7   294.6   60.7  -2.2 187.6
4   500   146.2    81.2    22.3   144.5   22.3  -2.2  46.0
5   600   121.0    85.0    10.5   120.6   10.5  -2.2  32.0
6   800    90.4    82.8    11.3    89.7   11.3  -2.2  17.8
7  1000    69.8    76.1    16.8    67.8   16.8  -2.4  10.8
8  1200    58.8    83.3     6.9    58.4    6.9  -2.3   7.8
9  1400    50.1    82.5     6.6    49.7    6.6  -2.3   5.7
10 2000    34.7    81.5     5.1    34.3    5.1  -2.3   2.7
11 4000    16.8    73.6     4.7    16.1    4.7  -2.5   0.6
